Zipcode,Total_Population,Men,Women,Under_5_Years,5_to_9_Years,10_to_14_Years,15_to_19_Years,20_to_24_Years,25_to_34_Years,35_to_44_Years,45_to_54_Years,55_to_59_Years,60_to_64_Years,65_to_74_Years,75_to_84_Years,85_Years_and_Over,Median_age_(years),Hispanic_%,White_%,Black_%,Native_Indian_%,Asian_%,Pacific_Islander_%,Other_Ethnicity_%,Total_Housing_Units,Citizen,Citizen_Male_%,Citizen_Female_%,Median_Household_Income,Mean_Household_Income,Income_Per_Capita,Median_Earnings_for_Workers,Median_Earnings_for_Male_Full-time_Workers,Median_Earnings_for_Female_Full-time_Workers,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_Under_18_Years_Old,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_Years_Old_and_Over,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_to_64_Years,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_65_Years_and_Over,Management_Business_Science_and_Arts_Occupations_%,Service_Occupations_%,Sales_and_Office_Occupations_%,Natural_Resources_Construction_and_Maintenance_Occupations_%,Production_Transportation_and_Material_Moving_Occupations_%,Drive_%,Carpool_%,Public_Transportation_%,Walk_%,Other_Transporation_%,Work_At_Home_%,Average_Commute_Time_in_Minutes,Employed,Private_Wage_and_Salary_Workers_%,Government_Workers_%,Self_Employed_%,Unpaid_Family_Workers_%,Unemployment_Rate
98053,21185,10469,10716,1191,1687,1488,1078,766,1836,3678,3106,1158,1865,2107,907,318,41.8,3.5,72.2,0.7,0.4,20.4,0.1,0.1,8377,13908,48.6,51.4,120970,152901,57239,63937,121990,71025,3,2,3.4,3.1,4.5,63.6,10.2,18,4.2,3.9,75.4,10.2,3.4,0.8,2.5,7.6,29.7,10046,85.3,7.8,6.7,0.1,4.4
98055,22659,11178,11481,1818,1574,916,926,1268,4288,3633,2974,1364,1185,1278,1046,389,36.1,10.5,39.8,13.1,0.5,24.6,3.1,0.3,9457,15189,48.3,51.7,61736,75782,30809,36901,50229,46904,10,15.3,8.6,8.9,6.6,34.7,18.2,28.5,5.8,12.9,72.1,14.4,7.2,1,1.1,4.3,29.1,12062,83.7,11.6,4.6,0,6.4
98056,33944,17429,16515,2114,2032,1804,1861,2087,6021,5769,5276,2239,1564,1794,856,527,36.9,13,54,5.7,0.1,21.2,0.5,0,13893,22504,52,48,73330,94174,38021,39156,55316,50105,11.4,15.8,10.3,10.5,8.7,39.2,19.2,22.8,8.9,9.9,74,11.6,6.9,1.2,1.1,5.1,27.5,18957,84.8,10,5.1,0.1,6.6
98058,44430,22064,22366,2820,2975,2804,2543,2526,6118,6727,6966,2963,2830,3200,1384,574,38.4,9.7,56.5,8.2,0.2,19,0.3,0.1,16692,31202,49.8,50.2,82134,95411,34946,41769,65119,49543,7.3,9.3,6.7,6.7,6.5,41.9,14.2,24.2,8,11.7,76.9,12.4,4.4,0.4,0.9,4.9,31.9,23280,82.2,13.6,3.9,0.3,5.4
98059,36409,18461,17948,2872,2824,2164,2105,1648,4648,6093,5461,2585,1830,2501,1249,429,37.8,8.5,59.3,3.4,0.6,21.4,0.2,0.2,13637,24610,49.3,50.7,93918,113787,41979,51376,70826,60908,6.6,7.6,6.3,6.9,2.8,49.9,12.3,20.6,7.5,9.7,78.7,9.5,4.6,1.6,0.9,4.8,30.1,18884,83.4,11,5.5,0.1,4.9
98065,13977,7064,6913,1696,1236,1003,811,234,1957,2693,2300,685,581,604,125,52,35.2,3.2,81.3,0.3,0.4,9.4,0,0.4,4953,8854,49.1,50.9,120814,136924,46707,63027,93685,74102,2,2.8,1.6,1.5,2.3,57,10.6,24.6,5,2.9,73.8,10.2,4.3,1,1.2,9.7,32.1,7166,81.6,15.4,3,0,4.2
98070,10189,4856,5333,185,355,651,586,391,650,978,1909,1237,1099,1260,459,429,51.4,2.1,91.9,0.5,0.5,3.6,0,0,5798,8403,45.3,54.7,71820,96823,45809,36042,85400,55248,5.8,10.8,4.9,5.4,3.3,51.9,14,17.5,6.7,9.9,58.7,5.7,20.5,2.2,5,8,43.3,5336,67.1,16.1,15.7,1,5.4
98072,22779,11092,11687,1244,1585,1568,1535,1122,2235,2982,4091,2138,1455,1792,651,381,42.3,3.3,83.1,1.1,0.1,8.2,0.7,0.1,9217,16439,48.3,51.7,106545,144116,55745,53315,99025,61376,4.5,5.2,4.3,4.5,3.3,54.8,10.5,20.7,6.5,7.5,77.5,6.7,4.2,0.6,1.7,9.2,27.1,11864,81.9,11.4,6.7,0,4.8
98074,26530,13342,13188,1804,2369,2669,1961,748,2245,5102,4809,1803,1244,1215,394,167,38.4,5,70,0.6,0,21.3,0,0,9070,14979,50.2,49.8,145262,173365,57629,82403,129117,72222,3.5,3.9,3.3,2.7,9,67.1,6.1,21.6,2.3,2.9,71.8,11.1,5.1,1.2,1,9.8,30,12528,84.9,9.2,5.7,0.2,4.5
98075,23363,11392,11971,1486,2164,2676,1754,798,1650,4223,4590,1472,872,1137,347,194,38.3,3.1,68.3,0.9,0,22.9,0.4,0.6,7595,13098,50.3,49.7,150301,183524,58232,80750,127007,82038,2.2,2,2.3,2.1,4.3,65.7,8.5,21.1,1.5,3.2,73.6,8.5,6.2,0.5,0.9,10.4,31.3,10971,87.5,6.8,5.3,0.4,3.6
